2022-12-25 17:49:08 INFO  Log:11 - ======== Start : Login Module Case 1 ========
2022-12-25 17:49:10 INFO  Log:11 - checkLoginBtn Started
2022-12-25 17:49:10 INFO  Log:11 - Login butonunun aktif oldugunu dogrular.
2022-12-25 17:49:10 INFO  Log:11 - checkLoginBtn Passed
2022-12-25 17:49:10 INFO  Log:11 - -----------------------
2022-12-25 17:49:10 INFO  Log:11 - checkLoginFormHeaderText Started
2022-12-25 17:49:10 INFO  Log:11 - Login formunun basligini kontrol eder.
2022-12-25 17:49:10 INFO  Log:11 - checkLoginFormHeaderText Passed
2022-12-25 17:49:10 INFO  Log:11 - -----------------------
2022-12-25 17:49:10 INFO  Log:11 - checkLoginPageUrl Started
2022-12-25 17:49:10 INFO  Log:11 - Dogru sayfada oldugumuzu dogrular.
2022-12-25 17:49:10 INFO  Log:11 - checkLoginPageUrl Passed
2022-12-25 17:49:10 INFO  Log:11 - -----------------------
2022-12-25 17:49:10 INFO  Log:11 - checkPasswordField Started
2022-12-25 17:49:10 INFO  Log:11 - Sifre alaninin aktif oldugunu dogrular.
2022-12-25 17:49:10 INFO  Log:11 - checkPasswordField Passed
2022-12-25 17:49:10 INFO  Log:11 - -----------------------
2022-12-25 17:49:10 INFO  Log:11 - checkUserNameField Started
2022-12-25 17:49:10 INFO  Log:11 - Kullanici adi alaninin aktif oldugunu dogrular.
2022-12-25 17:49:10 INFO  Log:11 - checkUserNameField Passed
2022-12-25 17:49:10 INFO  Log:11 - -----------------------
2022-12-25 17:49:11 INFO  Log:11 - ======== Finish : Login Module Case 1 ========
2022-12-25 17:49:11 INFO  Log:11 - ======== Start : Login Module Case 2 ========
2022-12-25 17:49:13 INFO  Log:11 - checkRequiredPasswordMessage Started
2022-12-25 17:49:13 INFO  Log:11 - Sifre girilmeden login butonuna basilirsa, hata mesajinin gosterildigini kontrol eder.
2022-12-25 17:49:13 INFO  Log:11 - checkRequiredPasswordMessage Passed
2022-12-25 17:49:13 INFO  Log:11 - -----------------------
2022-12-25 17:49:13 INFO  Log:11 - checkRequiredUsernameMessage Started
2022-12-25 17:49:13 INFO  Log:11 - Kullanici adi girilmeden login butonuna basilirsa, hata mesjainin gosterildigini kontrol eder.
2022-12-25 17:49:13 INFO  Log:11 - checkRequiredUsernameMessage Passed
2022-12-25 17:49:13 INFO  Log:11 - -----------------------
2022-12-25 17:49:13 INFO  Log:11 - ======== Finish : Login Module Case 2 ========
2022-12-25 17:49:13 INFO  Log:11 - ======== Start : Login Module Case 3 ========
2022-12-25 17:49:15 INFO  Log:11 - checkDashboardPageUrl Started
